,url,ean,cat1,cat2,cat3,desc,preco,imagem
3330,https://www.superabc.com.br/7896043004159alim-sustare-crianca-baun-380gr/p,7896043004159,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTARE CRIANCA BAUNILHA 380GR - UNIDADE,19.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249681-1000-1000/7896043004159.jpg?v=637002215096800000
3331,https://www.superabc.com.br/7896547287102-alim-sustain-junior-baun-350g/p,7896547287102,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTAIN JUNIOR BAUNILHA 350G - UNIDADE,22.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249667-1000-1000/7896547287102.jpg?v=637002215046400000
3332,https://www.superabc.com.br/7896043004142alim-sustare-crianca-choc-380g/p,7896043004142,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTARE CRIANCA CHOCOLATE 380G - UNIDADE,19.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249684-1000-1000/7896043004142.jpg?v=637002215109470000
3333,https://www.superabc.com.br/7896547287058-alim-sustain-junior-mor-zero-350g/p,7896547287058,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTAIN JUNIOR MORANGO ZERO 350G - UNIDADE,22.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249673-1000-1000/7896547287058.jpg?v=637002215066730000
3334,https://www.superabc.com.br/7898205924503beb-lactea-verde-campo-choc-200ml/p,7898205924503,Mercearia,Matinais,Bebidas Lácteas,BEBIDA LÁCTEA VERDE CAMPO CHOCOLATE 200ML - UNIDADE,1.79,https://abcemcasa.vteximg.com.br/arquivos/ids/251046-1000-1000/581520.jpg?v=637002223572930000
3335,https://www.superabc.com.br/7891025107590-alim-sustain-junior-zero-frutas-350g/p,7891025107590,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTAIN JUNIOR ZERO FRUTAS 350G - UNIDADE,22.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249676-1000-1000/7891025107590.jpg?v=637002215078400000
3336,https://www.superabc.com.br/7896656801145cafe-utam-extra-forte-500g/p,7896656801145,Mercearia,Matinais,Cafés,CAFÉ UTAM EXTRA FORTE 500G - UNIDADE,8.69,https://abcemcasa.vteximg.com.br/arquivos/ids/269223-1000-1000/7896656801145.jpg?v=637008076088270000
3337,https://www.superabc.com.br/7898393030024-cafe-fazenda-caete-superior-500g/p,7898393030024,Mercearia,Matinais,Cafés,CAFÉ FAZENDA CAETÉ SUPERIOR 500G - UNIDADE,14.39,https://abcemcasa.vteximg.com.br/arquivos/ids/252634-1000-1000/7898393030024.jpg?v=637002248556830000
3338,https://www.superabc.com.br/7891025107842-leite-po-cresc-milnutri-800g/p,7891025107842,Mercearia,Matinais,Bebidas Lácteas,LEITE EM PÓ CRESC MILONG NECKUTRI 800G - UNIDADE,31.9,https://abcemcasa.vteximg.com.br/arquivos/ids/259694-1000-1000/7891025107842.jpg?v=637002319414000000
3339,https://www.superabc.com.br/7896656801138cafe-utam-250g/p,7896656801138,Mercearia,Matinais,Cafés,CAFÉ UTAM 250G - UNIDADE,4.49,https://abcemcasa.vteximg.com.br/arquivos/ids/252662-1000-1000/7896656801138.jpg?v=637002248689030000
